Team,Pld,Won,Lost,N/R,Net RR,Pts
Chennai Super Kings,14.4,8.7,5.5,0.2,0.35839999999999994,17.6
Deccan Chargers,14.4,5.4,8.8,0.2,-0.1696,11.0
Delhi Capitals,14.333333333333334,6.333333333333333,7.75,0.25,-0.17341666666666666,12.916666666666666
Gujarat Lions,14.0,6.5,7.5,0.0,-0.393,13.0
Kings XI Punjab,14.333333333333334,6.75,7.583333333333333,0.0,-0.19741666666666666,13.5
Kochi Tuskers Kerala,14.0,6.0,8.0,0.0,-0.214,12.0
Kolkata Knight Riders,14.333333333333334,7.166666666666667,6.833333333333333,0.3333333333333333,0.08316666666666665,14.666666666666666
Mumbai Indians,14.333333333333334,8.25,6.0,0.08333333333333333,0.3133333333333334,16.583333333333332
Pune Warriors India,15.333333333333334,4.0,11.0,0.3333333333333333,-0.5636666666666666,8.333333333333334
Rajasthan Royals,14.4,7.2,6.7,0.5,-0.09790000000000001,14.9
Rising Pune Supergiants,14.0,7.0,7.0,0.0,0.0955,14.0
Royal Challengers Bangalore,14.333333333333334,6.583333333333333,7.25,0.5,-0.05058333333333335,13.666666666666666
Sunrisers Hyderabad,14.285714285714286,7.714285714285714,6.428571428571429,0.14285714285714285,0.15285714285714286,15.571428571428571
