team1,team2,toss_winner,toss_decision,winner,win,toss_win,Team1_pts,Team1_RR,Team2_pts,Team2_RR
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,1,Sunrisers Hyderabad,team 1,1,15.571428571428571,0.15285714285714286,13.666666666666666,-0.05058333333333335
Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,1,Rising Pune Supergiants,team 2,1,16.583333333333332,0.3133333333333334,14.0,0.0955
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,team 2,1,13.0,-0.393,14.666666666666666,0.08316666666666665
Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,1,Kings XI Punjab,team 2,1,14.0,0.0955,13.5,-0.19741666666666666
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,1,Sunrisers Hyderabad,team 2,1,13.0,-0.393,15.571428571428571,0.15285714285714286
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,team 2,1,14.666666666666666,0.08316666666666665,16.583333333333332,0.3133333333333334
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2,Kings XI Punjab,team 2,2,13.666666666666666,-0.05058333333333335,13.5,-0.19741666666666666
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,team 2,1,15.571428571428571,0.15285714285714286,16.583333333333332,0.3133333333333334
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,team 2,1,13.5,-0.19741666666666666,14.666666666666666,0.08316666666666665
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,team 2,1,13.666666666666666,-0.05058333333333335,16.583333333333332,0.3133333333333334
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,1,Gujarat Lions,team 2,1,14.0,0.0955,13.0,-0.393
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,1,Kolkata Knight Riders,team 1,1,14.666666666666666,0.08316666666666665,15.571428571428571,0.15285714285714286
Gujarat Lions,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,team 2,1,13.0,-0.393,16.583333333333332,0.3133333333333334
Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,1,Rising Pune Supergiants,team 1,1,14.0,0.0955,13.666666666666666,-0.05058333333333335
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,1,Sunrisers Hyderabad,team 1,1,15.571428571428571,0.15285714285714286,13.5,-0.19741666666666666
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,1,Royal Challengers Bangalore,team 1,1,13.666666666666666,-0.05058333333333335,13.0,-0.393
Kings XI Punjab,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,team 2,1,13.5,-0.19741666666666666,16.583333333333332,0.3133333333333334
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,1,Gujarat Lions,team 2,1,14.666666666666666,0.08316666666666665,13.0,-0.393
Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,1,Rising Pune Supergiants,team 2,1,15.571428571428571,0.15285714285714286,14.0,0.0955
Kings XI Punjab,Gujarat Lions,Gujarat Lions,1,Kings XI Punjab,team 1,1,13.5,-0.19741666666666666,13.0,-0.393
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,1,Kolkata Knight Riders,team 1,1,14.666666666666666,0.08316666666666665,13.666666666666666,-0.05058333333333335
Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,1,Rising Pune Supergiants,team 1,1,14.0,0.0955,16.583333333333332,0.3133333333333334
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,team 2,1,14.0,0.0955,14.666666666666666,0.08316666666666665
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,1,Gujarat Lions,team 2,1,13.666666666666666,-0.05058333333333335,13.0,-0.393
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,1,Sunrisers Hyderabad,team 1,1,15.571428571428571,0.15285714285714286,13.5,-0.19741666666666666
Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,1,Rising Pune Supergiants,team 1,1,14.0,0.0955,13.666666666666666,-0.05058333333333335
Gujarat Lions,Mumbai Indians,Gujarat Lions,2,Mumbai Indians,team 2,2,13.0,-0.393,16.583333333333332,0.3133333333333334
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,1,Sunrisers Hyderabad,team 1,1,15.571428571428571,0.15285714285714286,14.666666666666666,0.08316666666666665
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2,Mumbai Indians,team 2,2,13.666666666666666,-0.05058333333333335,16.583333333333332,0.3133333333333334
Gujarat Lions,Rising Pune Supergiants,Rising Pune Supergiants,1,Rising Pune Supergiants,team 2,1,13.0,-0.393,14.0,0.0955
Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,1,Rising Pune Supergiants,team 2,1,14.666666666666666,0.08316666666666665,14.0,0.0955
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,1,Kings XI Punjab,team 1,1,13.5,-0.19741666666666666,13.666666666666666,-0.05058333333333335
Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,1,Rising Pune Supergiants,team 1,1,14.0,0.0955,15.571428571428571,0.15285714285714286
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,team 2,1,13.666666666666666,-0.05058333333333335,14.666666666666666,0.08316666666666665
Kings XI Punjab,Gujarat Lions,Gujarat Lions,1,Gujarat Lions,team 2,1,13.5,-0.19741666666666666,13.0,-0.393
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,2,Sunrisers Hyderabad,team 2,2,16.583333333333332,0.3133333333333334,15.571428571428571,0.15285714285714286
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,1,Kings XI Punjab,team 1,1,13.5,-0.19741666666666666,14.666666666666666,0.08316666666666665
Kings XI Punjab,Mumbai Indians,Mumbai Indians,1,Kings XI Punjab,team 1,1,13.5,-0.19741666666666666,16.583333333333332,0.3133333333333334
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,1,Sunrisers Hyderabad,team 2,1,13.0,-0.393,15.571428571428571,0.15285714285714286
